"orig","dest","year5","age","sex","education","flow"
"AUT","CHE",2010,"20-39","Female","High",1320.0447663668
"AUT","CHE",2010,"20-39","Female","Low",496.342703133735
"AUT","CHE",2010,"20-39","Female","Middle",2604.41516896576
"AUT","CHE",2010,"20-39","Male","High",1745.04759336914
"AUT","CHE",2010,"20-39","Male","Low",552.174577384237
"AUT","CHE",2010,"20-39","Male","Middle",2502.82173303874
"AUT","CHE",2010,"40-64","Female","High",375.771138679296
"AUT","CHE",2010,"40-64","Female","Low",212.409818726304
"AUT","CHE",2010,"40-64","Female","Middle",1075.87208561563
"AUT","CHE",2010,"40-64","Male","High",782.635311093665
"AUT","CHE",2010,"40-64","Male","Low",240.219727173745
"AUT","CHE",2010,"40-64","Male","Middle",1098.28428756212
"AUT","CHE",2010,"65+","Female","High",21.9894150096316
"AUT","CHE",2010,"65+","Female","Low",51.6402172221368
"AUT","CHE",2010,"65+","Female","Middle",122.040284964568
"AUT","CHE",2010,"65+","Male","High",60.7545332484929
"AUT","CHE",2010,"65+","Male","Low",50.3617580827546
"AUT","CHE",2010,"65+","Male","Middle",95.7502223540203
"AUT","CHE",2015,"0-19","Female","High",0.0233215864846147
"AUT","CHE",2015,"0-19","Female","Low",1078.77610680789
"AUT","CHE",2015,"0-19","Female","Middle",279.53100361216
"AUT","CHE",2015,"0-19","Male","High",0.0264347930908762
"AUT","CHE",2015,"0-19","Male","Low",1114.03827209451
"AUT","CHE",2015,"0-19","Male","Middle",293.805283978498
"AUT","CHE",2015,"20-39","Female","High",1673.45973516339
"AUT","CHE",2015,"20-39","Female","Low",661.048397745174
"AUT","CHE",2015,"20-39","Female","Middle",2721.1639570754
"AUT","CHE",2015,"20-39","Male","High",1987.46689790346
"AUT","CHE",2015,"20-39","Male","Low",722.552864128762
"AUT","CHE",2015,"20-39","Male","Middle",2794.93240580266
"AUT","CHE",2015,"40-64","Female","High",458.432128359137
"AUT","CHE",2015,"40-64","Female","Low",228.65460580908
"AUT","CHE",2015,"40-64","Female","Middle",1010.76391194448
"AUT","CHE",2015,"40-64","Male","High",836.578492576293
"AUT","CHE",2015,"40-64","Male","Low",287.922152138325
"AUT","CHE",2015,"40-64","Male","Middle",1042.45496898175
"AUT","CHE",2015,"65+","Female","High",23.3861236498519
"AUT","CHE",2015,"65+","Female","Low",49.1071868617341
"AUT","CHE",2015,"65+","Female","Middle",113.482443068442
"AUT","CHE",2015,"65+","Male","High",60.4896015769602
"AUT","CHE",2015,"65+","Male","Low",48.8019179220156
"AUT","CHE",2015,"65+","Male","Middle",87.8229055029186
"AUT","CYP",2000,"0-19","Female","High",0.00082617717426441
"AUT","CYP",2000,"0-19","Female","Low",2.74895718262407
"AUT","CYP",2000,"0-19","Female","Middle",0.94678776199023
"AUT","CYP",2000,"0-19","Male","High",0.000920708441026893
"AUT","CYP",2000,"0-19","Male","Low",3.02668320221126
"AUT","CYP",2000,"0-19","Male","Middle",1.03651842820035
"AUT","CYP",2000,"20-39","Female","High",6.04890022644232
"AUT","CYP",2000,"20-39","Female","Low",3.08017373246554
"AUT","CYP",2000,"20-39","Female","Middle",8.42786821842739
"AUT","CYP",2000,"20-39","Male","High",5.31826493544003
"AUT","CYP",2000,"20-39","Male","Low",3.17461413877879
"AUT","CYP",2000,"20-39","Male","Middle",11.0723345811591
"AUT","CYP",2000,"40-64","Female","High",1.71028871296538
"AUT","CYP",2000,"40-64","Female","Low",2.57856831746654
"AUT","CYP",2000,"40-64","Female","Middle",2.35936502391602
"AUT","CYP",2000,"40-64","Male","High",2.18380714226213
"AUT","CYP",2000,"40-64","Male","Low",2.37358408161527
"AUT","CYP",2000,"40-64","Male","Middle",2.94765858268624
"AUT","CYP",2000,"65+","Female","High",0.133285360773703
"AUT","CYP",2000,"65+","Female","Low",0.799926694957908
"AUT","CYP",2000,"65+","Female","Middle",0.247878730466032
"AUT","CYP",2000,"65+","Male","High",0.216970182091088
"AUT","CYP",2000,"65+","Male","Low",0.718861586372262
"AUT","CYP",2000,"65+","Male","Middle",0.369113088571775
"AUT","CYP",2005,"0-19","Female","High",0.00163456536656837
"AUT","CYP",2005,"0-19","Female","Low",7.35890357407041
"AUT","CYP",2005,"0-19","Female","Middle",1.96947848531808
"AUT","CYP",2005,"0-19","Male","High",0.00183821663669676
"AUT","CYP",2005,"0-19","Male","Low",8.54107456819981
"AUT","CYP",2005,"0-19","Male","Middle",2.14270262609231
"AUT","CYP",2005,"20-39","Female","High",12.8750981057701
"AUT","CYP",2005,"20-39","Female","Low",4.88017918762334
"AUT","CYP",2005,"20-39","Female","Middle",13.6223268828569
"AUT","CYP",2005,"20-39","Male","High",11.162400956678
"AUT","CYP",2005,"20-39","Male","Low",5.37984514890577
"AUT","CYP",2005,"20-39","Male","Middle",20.4120572532008
"AUT","CYP",2005,"40-64","Female","High",4.54253785094793
"AUT","CYP",2005,"40-64","Female","Low",5.25486410047953
"AUT","CYP",2005,"40-64","Female","Middle",6.28511119056397
"AUT","CYP",2005,"40-64","Male","High",5.94957313872657
"AUT","CYP",2005,"40-64","Male","Low",5.06215146272564
"AUT","CYP",2005,"40-64","Male","Middle",7.74678683894462
"AUT","CYP",2005,"65+","Female","High",0.374560996318786
"AUT","CYP",2005,"65+","Female","Low",1.68354952193758
"AUT","CYP",2005,"65+","Female","Middle",0.768463268591504
"AUT","CYP",2005,"65+","Male","High",0.681260962313221
"AUT","CYP",2005,"65+","Male","Low",1.54014051455736
"AUT","CYP",2005,"65+","Male","Middle",1.05344372635198
"AUT","CYP",2010,"0-19","Female","High",0.00321446310703258
"AUT","CYP",2010,"0-19","Female","Low",14.210967771377
"AUT","CYP",2010,"0-19","Female","Middle",2.92574272325839
"AUT","CYP",2010,"0-19","Male","High",0.00340271073986032
"AUT","CYP",2010,"0-19","Male","Low",14.8109008907118
"AUT","CYP",2010,"0-19","Male","Middle",3.08380595625274
"AUT","CYP",2010,"20-39","Female","High",25.3717872761322
"AUT","CYP",2010,"20-39","Female","Low",7.77323726765188
"AUT","CYP",2010,"20-39","Female","Middle",22.1233820512585
"AUT","CYP",2010,"20-39","Male","High",19.2100432999715
"AUT","CYP",2010,"20-39","Male","Low",7.52443834359017
"AUT","CYP",2010,"20-39","Male","Middle",31.1336845106949
"AUT","CYP",2010,"40-64","Female","High",9.73187943431441
"AUT","CYP",2010,"40-64","Female","Low",8.08886335377299
"AUT","CYP",2010,"40-64","Female","Middle",11.9057975407347
"AUT","CYP",2010,"40-64","Male","High",10.7051173478562
"AUT","CYP",2010,"40-64","Male","Low",7.4746750465573
"AUT","CYP",2010,"40-64","Male","Middle",13.1103998540342
"AUT","CYP",2010,"65+","Female","High",1.07357747378417
"AUT","CYP",2010,"65+","Female","Low",3.32338137641601
"AUT","CYP",2010,"65+","Female","Middle",1.99116739483101
"AUT","CYP",2010,"65+","Male","High",1.76247466503293
"AUT","CYP",2010,"65+","Male","Low",2.7824215626086
"AUT","CYP",2010,"65+","Male","Middle",2.17408980068516
"AUT","CYP",2015,"0-19","Female","High",0.00568610027006317
"AUT","CYP",2015,"0-19","Female","Low",16.3771548756262
"AUT","CYP",2015,"0-19","Female","Middle",4.69237309900441
"AUT","CYP",2015,"0-19","Male","High",0.00546382840408037
"AUT","CYP",2015,"0-19","Male","Low",17.3775068544809
"AUT","CYP",2015,"0-19","Male","Middle",4.88669497634151
"AUT","CYP",2015,"20-39","Female","High",43.3775298973537
"AUT","CYP",2015,"20-39","Female","Low",10.2847312332763
"AUT","CYP",2015,"20-39","Female","Middle",32.3284570516172
"AUT","CYP",2015,"20-39","Male","High",33.9238547330613
"AUT","CYP",2015,"20-39","Male","Low",10.0969675162323
"AUT","CYP",2015,"20-39","Male","Middle",42.563081591381
"AUT","CYP",2015,"40-64","Female","High",13.6224371148057
"AUT","CYP",2015,"40-64","Female","Low",8.56115351963032
"AUT","CYP",2015,"40-64","Female","Middle",14.5271148699091
"AUT","CYP",2015,"40-64","Male","High",13.8976577885681
